SystemTime_ISO,MsgType,FC_Time_us,alt,hdg,lat,lon,mavpackettype,relative_alt,vx,vy,vz
2025-12-14 23:49:46.665,GLOBAL_POSITION_INT,95500,0,9548,0,0,GLOBAL_POSITION_INT,-2365,0,3,-2
2025-12-14 23:49:46.765,GLOBAL_POSITION_INT,95600,0,9546,0,0,GLOBAL_POSITION_INT,-2162,0,3,-2
2025-12-14 23:49:46.865,GLOBAL_POSITION_INT,95700,0,9546,0,0,GLOBAL_POSITION_INT,-2173,0,3,-2
2025-12-14 23:49:46.965,GLOBAL_POSITION_INT,95800,0,9546,0,0,GLOBAL_POSITION_INT,-2310,0,3,-2
2025-12-14 23:49:47.065,GLOBAL_POSITION_INT,95900,0,9547,0,0,GLOBAL_POSITION_INT,-2244,0,3,-2
2025-12-14 23:49:47.165,GLOBAL_POSITION_INT,96000,0,9546,0,0,GLOBAL_POSITION_INT,-2200,0,3,-2
2025-12-14 23:49:47.265,GLOBAL_POSITION_INT,96100,0,9546,0,0,GLOBAL_POSITION_INT,-2338,0,3,-2
2025-12-14 23:49:47.365,GLOBAL_POSITION_INT,96200,0,9547,0,0,GLOBAL_POSITION_INT,-2338,0,3,-2
2025-12-14 23:49:47.465,GLOBAL_POSITION_INT,96300,0,9548,0,0,GLOBAL_POSITION_INT,-2200,0,3,-3
2025-12-14 23:49:47.565,GLOBAL_POSITION_INT,96400,0,9549,0,0,GLOBAL_POSITION_INT,-2530,0,3,-3
2025-12-14 23:49:47.665,GLOBAL_POSITION_INT,96500,0,9549,0,0,GLOBAL_POSITION_INT,-2299,0,3,-2
2025-12-14 23:49:47.765,GLOBAL_POSITION_INT,96600,0,9549,0,0,GLOBAL_POSITION_INT,-2541,0,3,-2
2025-12-14 23:49:47.865,GLOBAL_POSITION_INT,96700,0,9551,0,0,GLOBAL_POSITION_INT,-2569,0,3,-2
2025-12-14 23:49:47.964,GLOBAL_POSITION_INT,96800,0,9552,0,0,GLOBAL_POSITION_INT,-2475,0,3,-2
2025-12-14 23:49:48.064,GLOBAL_POSITION_INT,96900,0,9553,0,0,GLOBAL_POSITION_INT,-2299,0,3,-2
2025-12-14 23:49:48.164,GLOBAL_POSITION_INT,97000,0,9554,0,0,GLOBAL_POSITION_INT,-2508,0,3,-2
2025-12-14 23:49:48.264,GLOBAL_POSITION_INT,97100,0,9554,0,0,GLOBAL_POSITION_INT,-2244,0,3,-2
2025-12-14 23:49:48.364,GLOBAL_POSITION_INT,97200,0,9553,0,0,GLOBAL_POSITION_INT,-2431,0,3,-2
2025-12-14 23:49:48.464,GLOBAL_POSITION_INT,97300,0,9553,0,0,GLOBAL_POSITION_INT,-2470,0,3,-1
2025-12-14 23:49:48.564,GLOBAL_POSITION_INT,97400,0,9553,0,0,GLOBAL_POSITION_INT,-2514,0,3,-1
2025-12-14 23:49:48.664,GLOBAL_POSITION_INT,97500,0,9555,0,0,GLOBAL_POSITION_INT,-2497,0,3,-1
2025-12-14 23:49:48.764,GLOBAL_POSITION_INT,97600,0,9557,0,0,GLOBAL_POSITION_INT,-2305,0,3,-1
2025-12-14 23:49:48.864,GLOBAL_POSITION_INT,97700,0,9558,0,0,GLOBAL_POSITION_INT,-2283,0,3,-1
2025-12-14 23:49:48.965,GLOBAL_POSITION_INT,97800,0,9558,0,0,GLOBAL_POSITION_INT,-2635,0,3,-1
2025-12-14 23:49:49.064,GLOBAL_POSITION_INT,97900,0,9559,0,0,GLOBAL_POSITION_INT,-2431,0,3,-1
2025-12-14 23:49:49.164,GLOBAL_POSITION_INT,98000,0,9560,0,0,GLOBAL_POSITION_INT,-2327,0,3,-1
2025-12-14 23:49:49.264,GLOBAL_POSITION_INT,98100,0,9560,0,0,GLOBAL_POSITION_INT,-2085,0,3,-1
2025-12-14 23:49:49.364,GLOBAL_POSITION_INT,98200,0,9561,0,0,GLOBAL_POSITION_INT,-2118,0,3,-1
2025-12-14 23:49:49.464,GLOBAL_POSITION_INT,98300,0,9562,0,0,GLOBAL_POSITION_INT,-2277,0,3,-1
2025-12-14 23:49:49.564,GLOBAL_POSITION_INT,98400,0,9563,0,0,GLOBAL_POSITION_INT,-2536,0,3,-1
2025-12-14 23:49:49.664,GLOBAL_POSITION_INT,98500,0,9564,0,0,GLOBAL_POSITION_INT,-2112,0,3,-1
2025-12-14 23:49:49.764,GLOBAL_POSITION_INT,98600,0,9566,0,0,GLOBAL_POSITION_INT,-2338,0,3,-1
2025-12-14 23:49:49.864,GLOBAL_POSITION_INT,98700,0,9568,0,0,GLOBAL_POSITION_INT,-2321,0,3,-1
2025-12-14 23:49:49.964,GLOBAL_POSITION_INT,98800,0,9570,0,0,GLOBAL_POSITION_INT,-2294,0,3,-1
2025-12-14 23:49:50.064,GLOBAL_POSITION_INT,98900,0,9572,0,0,GLOBAL_POSITION_INT,-2497,0,3,-1
2025-12-14 23:49:50.165,GLOBAL_POSITION_INT,99000,0,9575,0,0,GLOBAL_POSITION_INT,-2173,0,3,-1
2025-12-14 23:49:50.264,GLOBAL_POSITION_INT,99100,0,9577,0,0,GLOBAL_POSITION_INT,-2569,0,3,-1
