SystemTime_ISO,MsgType,FC_Time_us,command,mavpackettype,progress,result,result_param2,target_component,target_system
2025-12-14 23:49:41.982,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.983,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.983,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.983,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.983,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.984,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.984,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.984,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.984,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.985,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.985,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.985,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.986,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.986,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.986,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.986,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.987,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.987,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.987,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.987,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.987,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.988,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.988,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.989,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.990,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.990,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.991,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,0,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
2025-12-14 23:49:41.992,COMMAND_ACK,0,511,COMMAND_ACK,0,4,0,0,255
