SystemTime_ISO,MsgType,FC_Time_us,airspeed,airspeed_sp,altitude,autopilot,battery,climb_rate,custom0,custom1,custom2,custom_mode,eph,epv,failure_flags,groundspeed,heading,latitude,longitude,mavpackettype,target_altitude,target_distance,target_heading,temperature_air,throttle,type,wind_heading,windspeed,wp_num
2025-12-14 23:49:42.028,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.128,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.228,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.327,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.427,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.528,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.627,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.727,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.827,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:42.927,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.027,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.127,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.227,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.327,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.428,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.527,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.627,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.727,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.827,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:43.927,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.027,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.128,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.227,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.327,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.427,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.527,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.627,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
2025-12-14 23:49:44.727,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,48,0,0,HIGH_LATENCY2,2,0,0,-128,0,2,0,0,0
