SystemTime_ISO,MsgType,FC_Time_us,landed_state,mavpackettype,vtol_state
2025-12-14 23:49:48.173,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.273,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.373,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.473,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.573,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.773,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.873,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:48.976,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.273,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.374,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.473,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.574,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:49.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.374,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
