SystemTime_ISO,MsgType,FC_Time_us,alt_msl,alt_rel,cam_idx,completed_captures,flags,foc_len,img_idx,lat,lng,mavpackettype,pitch,roll,target_system,yaw
2025-12-14 23:49:45.768,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:45.868,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:45.971,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.074,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.174,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.274,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.373,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.473,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.573,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.673,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.773,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.873,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:46.973,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
2025-12-14 23:49:47.073,CAMERA_FEEDBACK,0,0.0,0.0,0,0,0,0.0,0,0,0,CAMERA_FEEDBACK,0.0,0.0,0,0.0
