SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,press_abs,press_diff,temperature,temperature_press_diff
2025-12-14 23:49:47.170,SCALED_PRESSURE2,96003,SCALED_PRESSURE2,1006.9775390625,0.0,3473,0
2025-12-14 23:49:47.270,SCALED_PRESSURE2,96103,SCALED_PRESSURE2,1006.9705810546875,0.0,3474,0
2025-12-14 23:49:47.370,SCALED_PRESSURE2,96203,SCALED_PRESSURE2,1006.9935913085938,0.0,3474,0
2025-12-14 23:49:47.470,SCALED_PRESSURE2,96302,SCALED_PRESSURE2,1006.9959106445312,0.0,3475,0
2025-12-14 23:49:47.570,SCALED_PRESSURE2,96403,SCALED_PRESSURE2,1006.9904174804688,0.0,3476,0
2025-12-14 23:49:47.670,SCALED_PRESSURE2,96503,SCALED_PRESSURE2,1006.9673461914062,0.0,3476,0
2025-12-14 23:49:47.770,SCALED_PRESSURE2,96603,SCALED_PRESSURE2,1006.975341796875,0.0,3477,0
2025-12-14 23:49:47.870,SCALED_PRESSURE2,96700,SCALED_PRESSURE2,1006.9627685546875,0.0,3478,0
2025-12-14 23:49:47.970,SCALED_PRESSURE2,96803,SCALED_PRESSURE2,1006.9616088867188,0.0,3478,0
2025-12-14 23:49:48.069,SCALED_PRESSURE2,96903,SCALED_PRESSURE2,1006.987548828125,0.0,3479,0
2025-12-14 23:49:48.170,SCALED_PRESSURE2,97003,SCALED_PRESSURE2,1006.9852294921875,0.0,3480,0
2025-12-14 23:49:48.269,SCALED_PRESSURE2,97103,SCALED_PRESSURE2,1006.9808349609375,0.0,3480,0
2025-12-14 23:49:48.369,SCALED_PRESSURE2,97203,SCALED_PRESSURE2,1006.9811401367188,0.0,3481,0
2025-12-14 23:49:48.470,SCALED_PRESSURE2,97303,SCALED_PRESSURE2,1006.9854736328125,0.0,3482,0
2025-12-14 23:49:48.570,SCALED_PRESSURE2,97403,SCALED_PRESSURE2,1006.9940185546875,0.0,3482,0
2025-12-14 23:49:48.670,SCALED_PRESSURE2,97503,SCALED_PRESSURE2,1006.9744262695312,0.0,3482,0
2025-12-14 23:49:48.769,SCALED_PRESSURE2,97603,SCALED_PRESSURE2,1006.98828125,0.0,3483,0
2025-12-14 23:49:48.870,SCALED_PRESSURE2,97703,SCALED_PRESSURE2,1006.987060546875,0.0,3484,0
2025-12-14 23:49:48.971,SCALED_PRESSURE2,97803,SCALED_PRESSURE2,1006.9990234375,0.0,3485,0
2025-12-14 23:49:49.070,SCALED_PRESSURE2,97902,SCALED_PRESSURE2,1006.9777221679688,0.0,3485,0
2025-12-14 23:49:49.170,SCALED_PRESSURE2,98003,SCALED_PRESSURE2,1006.9674072265625,0.0,3486,0
2025-12-14 23:49:49.270,SCALED_PRESSURE2,98103,SCALED_PRESSURE2,1006.973388671875,0.0,3486,0
2025-12-14 23:49:49.370,SCALED_PRESSURE2,98202,SCALED_PRESSURE2,1006.9971923828125,0.0,3487,0
2025-12-14 23:49:49.470,SCALED_PRESSURE2,98302,SCALED_PRESSURE2,1006.9721069335938,0.0,3488,0
2025-12-14 23:49:49.570,SCALED_PRESSURE2,98403,SCALED_PRESSURE2,1006.9807739257812,0.0,3488,0
2025-12-14 23:49:49.670,SCALED_PRESSURE2,98503,SCALED_PRESSURE2,1006.9854736328125,0.0,3489,0
2025-12-14 23:49:49.770,SCALED_PRESSURE2,98603,SCALED_PRESSURE2,1006.9800415039062,0.0,3489,0
2025-12-14 23:49:49.870,SCALED_PRESSURE2,98703,SCALED_PRESSURE2,1006.9841918945312,0.0,3490,0
2025-12-14 23:49:49.970,SCALED_PRESSURE2,98803,SCALED_PRESSURE2,1006.984130859375,0.0,3490,0
2025-12-14 23:49:50.070,SCALED_PRESSURE2,98903,SCALED_PRESSURE2,1006.9868774414062,0.0,3492,0
2025-12-14 23:49:50.170,SCALED_PRESSURE2,99003,SCALED_PRESSURE2,1006.9846801757812,0.0,3492,0
2025-12-14 23:49:50.270,SCALED_PRESSURE2,99103,SCALED_PRESSURE2,1006.9861450195312,0.0,3493,0
2025-12-14 23:49:50.370,SCALED_PRESSURE2,99203,SCALED_PRESSURE2,1006.9757080078125,0.0,3493,0
2025-12-14 23:49:50.470,SCALED_PRESSURE2,99303,SCALED_PRESSURE2,1006.966552734375,0.0,3494,0
2025-12-14 23:49:50.569,SCALED_PRESSURE2,99403,SCALED_PRESSURE2,1006.9763793945312,0.0,3494,0
2025-12-14 23:49:50.669,SCALED_PRESSURE2,99503,SCALED_PRESSURE2,1006.9920654296875,0.0,3495,0
2025-12-14 23:49:50.771,SCALED_PRESSURE2,99602,SCALED_PRESSURE2,1006.9722290039062,0.0,3496,0
2025-12-14 23:49:50.870,SCALED_PRESSURE2,99702,SCALED_PRESSURE2,1006.9923706054688,0.0,3497,0
2025-12-14 23:49:50.970,SCALED_PRESSURE2,99800,SCALED_PRESSURE2,1006.992919921875,0.0,3497,0
2025-12-14 23:49:51.070,SCALED_PRESSURE2,99903,SCALED_PRESSURE2,1006.9813232421875,0.0,3497,0
2025-12-14 23:49:51.170,SCALED_PRESSURE2,100003,SCALED_PRESSURE2,1006.9725341796875,0.0,3498,0
2025-12-14 23:49:51.270,SCALED_PRESSURE2,100103,SCALED_PRESSURE2,1006.98388671875,0.0,3498,0
2025-12-14 23:49:51.370,SCALED_PRESSURE2,100203,SCALED_PRESSURE2,1006.9807739257812,0.0,3499,0
2025-12-14 23:49:51.470,SCALED_PRESSURE2,100303,SCALED_PRESSURE2,1006.9930419921875,0.0,3499,0
2025-12-14 23:49:51.570,SCALED_PRESSURE2,100403,SCALED_PRESSURE2,1006.9740600585938,0.0,3500,0
2025-12-14 23:49:51.670,SCALED_PRESSURE2,100503,SCALED_PRESSURE2,1006.9689331054688,0.0,3501,0
2025-12-14 23:49:51.770,SCALED_PRESSURE2,100603,SCALED_PRESSURE2,1006.9888916015625,0.0,3502,0
2025-12-14 23:49:51.870,SCALED_PRESSURE2,100703,SCALED_PRESSURE2,1006.9869995117188,0.0,3502,0
2025-12-14 23:49:51.970,SCALED_PRESSURE2,100803,SCALED_PRESSURE2,1006.9908447265625,0.0,3503,0
2025-12-14 23:49:52.071,SCALED_PRESSURE2,100903,SCALED_PRESSURE2,1006.984375,0.0,3503,0
2025-12-14 23:49:52.170,SCALED_PRESSURE2,101003,SCALED_PRESSURE2,1006.99951171875,0.0,3504,0
2025-12-14 23:49:52.270,SCALED_PRESSURE2,101103,SCALED_PRESSURE2,1006.9944458007812,0.0,3505,0
2025-12-14 23:49:52.370,SCALED_PRESSURE2,101203,SCALED_PRESSURE2,1006.9967041015625,0.0,3505,0
2025-12-14 23:49:52.472,SCALED_PRESSURE2,101303,SCALED_PRESSURE2,1006.9873046875,0.0,3506,0
2025-12-14 23:49:52.572,SCALED_PRESSURE2,101400,SCALED_PRESSURE2,1006.9819946289062,0.0,3506,0
2025-12-14 23:49:52.671,SCALED_PRESSURE2,101503,SCALED_PRESSURE2,1006.97216796875,0.0,3507,0
2025-12-14 23:49:52.771,SCALED_PRESSURE2,101603,SCALED_PRESSURE2,1006.9611206054688,0.0,3507,0
2025-12-14 23:49:52.872,SCALED_PRESSURE2,101703,SCALED_PRESSURE2,1006.9779663085938,0.0,3508,0
2025-12-14 23:49:52.971,SCALED_PRESSURE2,101803,SCALED_PRESSURE2,1006.9923706054688,0.0,3509,0
