SystemTime_ISO,MsgType,FC_Time_us,altitude,lat,lng,mavpackettype,pitch,roll,yaw
2025-12-14 23:49:42.073,AHRS2,0,-2.429999828338623,0,0,AHRS2,0.013016413897275925,0.022212082520127296,1.7451292276382446
2025-12-14 23:49:42.168,AHRS2,0,-2.379999876022339,0,0,AHRS2,0.012997657991945744,0.022205248475074768,1.7453539371490479
2025-12-14 23:49:42.268,AHRS2,0,-2.3399999141693115,0,0,AHRS2,0.01300453394651413,0.02218732424080372,1.7453278303146362
2025-12-14 23:49:42.368,AHRS2,0,-2.3899998664855957,0,0,AHRS2,0.013012899085879326,0.02220330759882927,1.7452912330627441
2025-12-14 23:49:42.468,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.01298549398779869,0.02220018394291401,1.7454437017440796
2025-12-14 23:49:42.568,AHRS2,0,-2.4800000190734863,0,0,AHRS2,0.012995357625186443,0.022189227864146233,1.7450848817825317
2025-12-14 23:49:42.667,AHRS2,0,-2.419999837875366,0,0,AHRS2,0.012978789396584034,0.02219669334590435,1.745123028755188
2025-12-14 23:49:42.767,AHRS2,0,-2.369999885559082,0,0,AHRS2,0.013006324879825115,0.02219875156879425,1.7449597120285034
2025-12-14 23:49:42.867,AHRS2,0,-2.259999990463257,0,0,AHRS2,0.013037302531301975,0.022199440747499466,1.7446086406707764
2025-12-14 23:49:42.967,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.013033189810812473,0.02220195345580578,1.7447624206542969
2025-12-14 23:49:43.067,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.013020907528698444,0.022203193977475166,1.7448277473449707
2025-12-14 23:49:43.167,AHRS2,0,-2.3999998569488525,0,0,AHRS2,0.012995043769478798,0.02220478653907776,1.7450207471847534
2025-12-14 23:49:43.267,AHRS2,0,-2.490000009536743,0,0,AHRS2,0.012964362278580666,0.022211629897356033,1.7453950643539429
2025-12-14 23:49:43.367,AHRS2,0,-2.419999837875366,0,0,AHRS2,0.012952495366334915,0.022211983799934387,1.7455261945724487
2025-12-14 23:49:43.467,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.012930414639413357,0.022202059626579285,1.745975375175476
2025-12-14 23:49:43.568,AHRS2,0,-2.440000057220459,0,0,AHRS2,0.012932189740240574,0.022190885618329048,1.7462167739868164
2025-12-14 23:49:43.667,AHRS2,0,-2.3999998569488525,0,0,AHRS2,0.012927179224789143,0.02218199521303177,1.7462466955184937
2025-12-14 23:49:43.768,AHRS2,0,-2.3399999141693115,0,0,AHRS2,0.012930365279316902,0.022160818800330162,1.745781660079956
2025-12-14 23:49:43.867,AHRS2,0,-2.3299999237060547,0,0,AHRS2,0.01294052042067051,0.022152181714773178,1.7448704242706299
2025-12-14 23:49:43.967,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.012942497618496418,0.022127117961645126,1.7438527345657349
2025-12-14 23:49:44.067,AHRS2,0,-2.509999990463257,0,0,AHRS2,0.012957338243722916,0.02209807187318802,1.7427115440368652
2025-12-14 23:49:44.167,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.012956950813531876,0.022088494151830673,1.7417982816696167
2025-12-14 23:49:44.268,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.012965915724635124,0.022061340510845184,1.7405446767807007
2025-12-14 23:49:44.367,AHRS2,0,-2.75,0,0,AHRS2,0.012959621846675873,0.02203487418591976,1.7391217947006226
2025-12-14 23:49:44.467,AHRS2,0,-2.2699999809265137,0,0,AHRS2,0.0129576800391078,0.022001923993229866,1.7377724647521973
2025-12-14 23:49:44.567,AHRS2,0,-2.2300000190734863,0,0,AHRS2,0.012963775545358658,0.021986786276102066,1.736603856086731
2025-12-14 23:49:44.667,AHRS2,0,-2.169999837875366,0,0,AHRS2,0.01298664789646864,0.021994898095726967,1.7355247735977173
2025-12-14 23:49:44.767,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.012999489903450012,0.021977385506033897,1.7344673871994019
2025-12-14 23:49:44.868,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.012995189055800438,0.021965637803077698,1.733586072921753
2025-12-14 23:49:44.968,AHRS2,0,-2.3999998569488525,0,0,AHRS2,0.013005235232412815,0.021963175386190414,1.7323812246322632
2025-12-14 23:49:45.068,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.013023702427744865,0.02194240689277649,1.730769395828247
2025-12-14 23:49:45.168,AHRS2,0,-2.359999895095825,0,0,AHRS2,0.013025790452957153,0.02192903868854046,1.729150414466858
2025-12-14 23:49:45.270,AHRS2,0,-2.369999885559082,0,0,AHRS2,0.013010572642087936,0.021915070712566376,1.7277153730392456
2025-12-14 23:49:45.368,AHRS2,0,-2.440000057220459,0,0,AHRS2,0.013019965961575508,0.021904906257987022,1.7265537977218628
2025-12-14 23:49:45.467,AHRS2,0,-2.379999876022339,0,0,AHRS2,0.013019463047385216,0.021895047277212143,1.7253271341323853
2025-12-14 23:49:45.568,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.013028808869421482,0.021884271875023842,1.723825216293335
2025-12-14 23:49:45.667,AHRS2,0,-2.369999885559082,0,0,AHRS2,0.013034001924097538,0.021865051239728928,1.7223776578903198
2025-12-14 23:49:45.767,AHRS2,0,-2.2300000190734863,0,0,AHRS2,0.013017608784139156,0.021843617781996727,1.7209924459457397
2025-12-14 23:49:45.867,AHRS2,0,-2.419999837875366,0,0,AHRS2,0.013005062006413937,0.021820049732923508,1.7196391820907593
2025-12-14 23:49:45.970,AHRS2,0,-2.299999952316284,0,0,AHRS2,0.013020351529121399,0.021817151457071304,1.7182929515838623
2025-12-14 23:49:46.073,AHRS2,0,-2.180000066757202,0,0,AHRS2,0.013029796071350574,0.021800236776471138,1.7171351909637451
2025-12-14 23:49:46.173,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.013012954965233803,0.02178236097097397,1.7160472869873047
2025-12-14 23:49:46.272,AHRS2,0,-2.119999885559082,0,0,AHRS2,0.013041578233242035,0.021782362833619118,1.714820146560669
2025-12-14 23:49:46.372,AHRS2,0,-2.3399999141693115,0,0,AHRS2,0.013060785830020905,0.02177194505929947,1.7133593559265137
2025-12-14 23:49:46.472,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.013051549904048443,0.021773722022771835,1.7122689485549927
2025-12-14 23:49:46.572,AHRS2,0,-2.3999998569488525,0,0,AHRS2,0.013049972243607044,0.021765567362308502,1.7115386724472046
2025-12-14 23:49:46.672,AHRS2,0,-2.359999895095825,0,0,AHRS2,0.013033373281359673,0.021751662716269493,1.7106983661651611
2025-12-14 23:49:46.772,AHRS2,0,-2.1599998474121094,0,0,AHRS2,0.013021239079535007,0.021756388247013092,1.7104275226593018
2025-12-14 23:49:46.872,AHRS2,0,-2.169999837875366,0,0,AHRS2,0.012992487289011478,0.02176581136882305,1.7107734680175781
2025-12-14 23:49:46.972,AHRS2,0,-2.309999942779541,0,0,AHRS2,0.01297453511506319,0.02176394686102867,1.7110239267349243
2025-12-14 23:49:47.072,AHRS2,0,-2.240000009536743,0,0,AHRS2,0.012981808744370937,0.021762359887361526,1.7109860181808472
2025-12-14 23:49:47.172,AHRS2,0,-2.200000047683716,0,0,AHRS2,0.012973845936357975,0.021756114438176155,1.7108782529830933
2025-12-14 23:49:47.272,AHRS2,0,-2.3299999237060547,0,0,AHRS2,0.012956561520695686,0.021746227517724037,1.7111178636550903
2025-12-14 23:49:47.372,AHRS2,0,-2.3299999237060547,0,0,AHRS2,0.012931798584759235,0.02174185961484909,1.7115709781646729
2025-12-14 23:49:47.472,AHRS2,0,-2.200000047683716,0,0,AHRS2,0.012917825020849705,0.02173743024468422,1.711637020111084
2025-12-14 23:49:47.572,AHRS2,0,-2.5299999713897705,0,0,AHRS2,0.012903166003525257,0.021736428141593933,1.7117557525634766
2025-12-14 23:49:47.672,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.012902945280075073,0.021716993302106857,1.7119996547698975
2025-12-14 23:49:47.772,AHRS2,0,-2.5399999618530273,0,0,AHRS2,0.012888986617326736,0.021709078922867775,1.7124552726745605
2025-12-14 23:49:47.872,AHRS2,0,-2.559999942779541,0,0,AHRS2,0.012902975082397461,0.021720625460147858,1.712794303894043
2025-12-14 23:49:47.971,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.012894776649773121,0.021731508895754814,1.7130391597747803
2025-12-14 23:49:48.071,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.01289094053208828,0.021708350628614426,1.7132844924926758
2025-12-14 23:49:48.171,AHRS2,0,-2.5,0,0,AHRS2,0.012903804890811443,0.021676089614629745,1.7133022546768188
2025-12-14 23:49:48.271,AHRS2,0,-2.240000009536743,0,0,AHRS2,0.01289984118193388,0.021669644862413406,1.7132933139801025
2025-12-14 23:49:48.371,AHRS2,0,-2.429999828338623,0,0,AHRS2,0.012881772592663765,0.021677639335393906,1.7128759622573853
2025-12-14 23:49:48.471,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.012869871221482754,0.02166527509689331,1.7129920721054077
2025-12-14 23:49:48.571,AHRS2,0,-2.509999990463257,0,0,AHRS2,0.012853595428168774,0.021671820431947708,1.7135952711105347
2025-12-14 23:49:48.671,AHRS2,0,-2.490000009536743,0,0,AHRS2,0.012828095816075802,0.021670332178473473,1.7142924070358276
2025-12-14 23:49:48.771,AHRS2,0,-2.299999952316284,0,0,AHRS2,0.012825884856283665,0.021671047434210777,1.7148646116256714
2025-12-14 23:49:48.871,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.012826972641050816,0.02168228104710579,1.7150442600250244
2025-12-14 23:49:48.973,AHRS2,0,-2.629999876022339,0,0,AHRS2,0.012828700244426727,0.02168896608054638,1.714928388595581
2025-12-14 23:49:49.072,AHRS2,0,-2.429999828338623,0,0,AHRS2,0.01280159130692482,0.021713711321353912,1.7151213884353638
2025-12-14 23:49:49.171,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.012790142558515072,0.021705850958824158,1.7154440879821777
2025-12-14 23:49:49.271,AHRS2,0,-2.0799999237060547,0,0,AHRS2,0.012766174040734768,0.021674344316124916,1.7155486345291138
2025-12-14 23:49:49.371,AHRS2,0,-2.109999895095825,0,0,AHRS2,0.012766963802278042,0.021670063957571983,1.7157604694366455
2025-12-14 23:49:49.471,AHRS2,0,-2.2699999809265137,0,0,AHRS2,0.012754230760037899,0.021650785580277443,1.7161061763763428
2025-12-14 23:49:49.571,AHRS2,0,-2.5299999713897705,0,0,AHRS2,0.01272121537476778,0.021664446219801903,1.7165251970291138
2025-12-14 23:49:49.671,AHRS2,0,-2.109999895095825,0,0,AHRS2,0.012669646181166172,0.021642226725816727,1.716744065284729
2025-12-14 23:49:49.771,AHRS2,0,-2.3299999237060547,0,0,AHRS2,0.01263631135225296,0.021636856719851494,1.7173523902893066
2025-12-14 23:49:49.871,AHRS2,0,-2.319999933242798,0,0,AHRS2,0.012615223415195942,0.021658804267644882,1.7179425954818726
2025-12-14 23:49:49.971,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.012598016299307346,0.021662883460521698,1.718437671661377
2025-12-14 23:49:50.071,AHRS2,0,-2.490000009536743,0,0,AHRS2,0.012583376839756966,0.02164701372385025,1.7190911769866943
2025-12-14 23:49:50.171,AHRS2,0,-2.169999837875366,0,0,AHRS2,0.012581232003867626,0.021672282367944717,1.7196106910705566
2025-12-14 23:49:50.271,AHRS2,0,-2.559999942779541,0,0,AHRS2,0.012557508423924446,0.021671457216143608,1.720075249671936
2025-12-14 23:49:50.371,AHRS2,0,-2.309999942779541,0,0,AHRS2,0.01255387719720602,0.02167642116546631,1.7205126285552979
2025-12-14 23:49:50.471,AHRS2,0,-2.3499999046325684,0,0,AHRS2,0.012544116005301476,0.021705273538827896,1.7208446264266968
2025-12-14 23:49:50.571,AHRS2,0,-2.2799999713897705,0,0,AHRS2,0.012563981115818024,0.021695734933018684,1.7211898565292358
2025-12-14 23:49:50.671,AHRS2,0,-2.3399999141693115,0,0,AHRS2,0.012557512149214745,0.02168368361890316,1.7217007875442505
2025-12-14 23:49:50.772,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.012548546306788921,0.02168463170528412,1.7223092317581177
2025-12-14 23:49:50.871,AHRS2,0,-2.3399999141693115,0,0,AHRS2,0.01253498438745737,0.02169249765574932,1.7227383852005005
2025-12-14 23:49:50.972,AHRS2,0,-2.559999942779541,0,0,AHRS2,0.012511215172708035,0.02169451117515564,1.722961664199829
2025-12-14 23:49:51.071,AHRS2,0,-2.2899999618530273,0,0,AHRS2,0.01250375248491764,0.021701354533433914,1.7233604192733765
2025-12-14 23:49:51.171,AHRS2,0,-2.509999990463257,0,0,AHRS2,0.01248865108937025,0.021695487201213837,1.723972201347351
2025-12-14 23:49:51.272,AHRS2,0,-2.3999998569488525,0,0,AHRS2,0.012498810887336731,0.021707357838749886,1.7244796752929688
2025-12-14 23:49:51.371,AHRS2,0,-2.5199999809265137,0,0,AHRS2,0.012509968131780624,0.021717160940170288,1.7250425815582275
2025-12-14 23:49:51.471,AHRS2,0,-2.5299999713897705,0,0,AHRS2,0.012489242479205132,0.021718954667448997,1.725476622581482
2025-12-14 23:49:51.572,AHRS2,0,-2.369999885559082,0,0,AHRS2,0.012477573938667774,0.02175253815948963,1.7259387969970703
2025-12-14 23:49:51.671,AHRS2,0,-2.5299999713897705,0,0,AHRS2,0.012489004991948605,0.021765924990177155,1.7261438369750977
2025-12-14 23:49:51.771,AHRS2,0,-2.5,0,0,AHRS2,0.012501690536737442,0.021748730912804604,1.7261372804641724
2025-12-14 23:49:51.871,AHRS2,0,-2.509999990463257,0,0,AHRS2,0.012500830926001072,0.021747242659330368,1.7262556552886963
2025-12-14 23:49:51.972,AHRS2,0,-2.5,0,0,AHRS2,0.01246903371065855,0.02176259458065033,1.7263845205307007
2025-12-14 23:49:52.072,AHRS2,0,-2.4700000286102295,0,0,AHRS2,0.01246891263872385,0.02177693322300911,1.7269083261489868
2025-12-14 23:49:52.172,AHRS2,0,-2.440000057220459,0,0,AHRS2,0.012470356188714504,0.021773507818579674,1.7276207208633423
2025-12-14 23:49:52.272,AHRS2,0,-2.5799999237060547,0,0,AHRS2,0.012473752722144127,0.021775145083665848,1.7279194593429565
