SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2025-12-15 00:39:18.558,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:18.658,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:18.758,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:18.858,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:18.958,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.058,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.158,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.258,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.358,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.459,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.559,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.659,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.759,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.859,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:19.959,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.059,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.159,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.259,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.359,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.459,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-15 00:39:20.559,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
