SystemTime_ISO,MsgType,FC_Time_us,chan10_raw,chan11_raw,chan12_raw,chan13_raw,chan14_raw,chan15_raw,chan16_raw,chan17_raw,chan18_raw,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,chan9_raw,chancount,mavpackettype,rssi
2025-12-15 00:39:21.061,RC_CHANNELS,316309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.161,RC_CHANNELS,316409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.263,RC_CHANNELS,316509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.364,RC_CHANNELS,316609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.463,RC_CHANNELS,316712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.563,RC_CHANNELS,316812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.664,RC_CHANNELS,316909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.763,RC_CHANNELS,317012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.863,RC_CHANNELS,317109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:21.963,RC_CHANNELS,317209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.063,RC_CHANNELS,317309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.164,RC_CHANNELS,317409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.263,RC_CHANNELS,317509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.363,RC_CHANNELS,317609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.463,RC_CHANNELS,317709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.563,RC_CHANNELS,317809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.663,RC_CHANNELS,317909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.764,RC_CHANNELS,318012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.863,RC_CHANNELS,318109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:22.963,RC_CHANNELS,318212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.064,RC_CHANNELS,318309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.164,RC_CHANNELS,318412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.263,RC_CHANNELS,318512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.364,RC_CHANNELS,318609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.464,RC_CHANNELS,318709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.563,RC_CHANNELS,318809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.664,RC_CHANNELS,318909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.764,RC_CHANNELS,319009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.863,RC_CHANNELS,319109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:23.964,RC_CHANNELS,319209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.063,RC_CHANNELS,319309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.164,RC_CHANNELS,319409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.263,RC_CHANNELS,319509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.362,RC_CHANNELS,319609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.463,RC_CHANNELS,319709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.563,RC_CHANNELS,319812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.663,RC_CHANNELS,319912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.763,RC_CHANNELS,320012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.864,RC_CHANNELS,320112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:24.963,RC_CHANNELS,320209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.063,RC_CHANNELS,320309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.163,RC_CHANNELS,320409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.263,RC_CHANNELS,320509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.363,RC_CHANNELS,320609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.463,RC_CHANNELS,320709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.563,RC_CHANNELS,320809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.663,RC_CHANNELS,320909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.763,RC_CHANNELS,321009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.863,RC_CHANNELS,321109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:25.963,RC_CHANNELS,321209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.063,RC_CHANNELS,321312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.163,RC_CHANNELS,321409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.263,RC_CHANNELS,321512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.363,RC_CHANNELS,321609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.463,RC_CHANNELS,321709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.563,RC_CHANNELS,321809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.663,RC_CHANNELS,321909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.763,RC_CHANNELS,322009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.863,RC_CHANNELS,322109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:26.963,RC_CHANNELS,322212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.063,RC_CHANNELS,322309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.163,RC_CHANNELS,322409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.263,RC_CHANNELS,322509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.364,RC_CHANNELS,322609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.464,RC_CHANNELS,322709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.562,RC_CHANNELS,322809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.663,RC_CHANNELS,322909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.764,RC_CHANNELS,323012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.863,RC_CHANNELS,323112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:27.963,RC_CHANNELS,323209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.064,RC_CHANNELS,323309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.163,RC_CHANNELS,323409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.263,RC_CHANNELS,323509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.364,RC_CHANNELS,323609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.463,RC_CHANNELS,323709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.563,RC_CHANNELS,323809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.663,RC_CHANNELS,323909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.763,RC_CHANNELS,324009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.864,RC_CHANNELS,324109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:28.963,RC_CHANNELS,324209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:29.063,RC_CHANNELS,324309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:29.164,RC_CHANNELS,324412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:29.264,RC_CHANNELS,324512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:29.363,RC_CHANNELS,324612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
2025-12-15 00:39:29.463,RC_CHANNELS,324709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RC_CHANNELS,255
