SystemTime_ISO,MsgType,FC_Time_us,Vcc,Vservo,flags,mavpackettype
2025-12-15 00:39:24.760,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:24.861,POWER_STATUS,0,5262,0,1,POWER_STATUS
2025-12-15 00:39:24.961,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:25.060,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:25.160,POWER_STATUS,0,5254,2,1,POWER_STATUS
2025-12-15 00:39:25.261,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:25.360,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:25.461,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:25.560,POWER_STATUS,0,5251,21,1,POWER_STATUS
2025-12-15 00:39:25.660,POWER_STATUS,0,5252,12,1,POWER_STATUS
2025-12-15 00:39:25.760,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:25.860,POWER_STATUS,0,5262,0,1,POWER_STATUS
2025-12-15 00:39:25.960,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:26.060,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-15 00:39:26.160,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:26.261,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:26.360,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:26.460,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:26.560,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:26.661,POWER_STATUS,0,5262,0,1,POWER_STATUS
2025-12-15 00:39:26.761,POWER_STATUS,0,5252,0,1,POWER_STATUS
2025-12-15 00:39:26.861,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:26.961,POWER_STATUS,0,5265,0,1,POWER_STATUS
2025-12-15 00:39:27.061,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:27.161,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:27.261,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:27.361,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:27.461,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:27.560,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-15 00:39:27.661,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-15 00:39:27.761,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-15 00:39:27.861,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:27.961,POWER_STATUS,0,5250,0,1,POWER_STATUS
2025-12-15 00:39:28.061,POWER_STATUS,0,5257,12,1,POWER_STATUS
2025-12-15 00:39:28.161,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:28.261,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:28.361,POWER_STATUS,0,5250,0,1,POWER_STATUS
2025-12-15 00:39:28.461,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:28.561,POWER_STATUS,0,5261,2,1,POWER_STATUS
2025-12-15 00:39:28.661,POWER_STATUS,0,5259,2,1,POWER_STATUS
2025-12-15 00:39:28.761,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:28.861,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:28.961,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:29.061,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:29.161,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:29.261,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:29.361,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:29.461,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:29.561,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:29.661,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:29.761,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:29.861,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:29.961,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:30.061,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:30.161,POWER_STATUS,0,5264,0,1,POWER_STATUS
2025-12-15 00:39:30.261,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:30.361,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:30.461,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:30.561,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:30.661,POWER_STATUS,0,5258,2,1,POWER_STATUS
2025-12-15 00:39:30.762,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:30.861,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:30.961,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:31.060,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:31.160,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-15 00:39:31.260,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:31.360,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-15 00:39:31.460,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:31.560,POWER_STATUS,0,5249,0,1,POWER_STATUS
2025-12-15 00:39:31.660,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-15 00:39:31.760,POWER_STATUS,0,5246,0,1,POWER_STATUS
2025-12-15 00:39:31.861,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:31.960,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-15 00:39:32.060,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:32.160,POWER_STATUS,0,5252,0,1,POWER_STATUS
2025-12-15 00:39:32.260,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:32.360,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-15 00:39:32.460,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-15 00:39:32.560,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:32.660,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:32.760,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:32.860,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-15 00:39:32.960,POWER_STATUS,0,5241,0,1,POWER_STATUS
2025-12-15 00:39:33.060,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:33.160,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:33.260,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:33.360,POWER_STATUS,0,5252,0,1,POWER_STATUS
2025-12-15 00:39:33.460,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:33.561,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-15 00:39:33.660,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-15 00:39:33.759,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-15 00:39:33.859,POWER_STATUS,0,5248,0,1,POWER_STATUS
2025-12-15 00:39:33.959,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-15 00:39:34.059,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-15 00:39:34.160,POWER_STATUS,0,5252,0,1,POWER_STATUS
2025-12-15 00:39:34.259,POWER_STATUS,0,5260,0,1,POWER_STATUS
