12-15-2025 14:00:34 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1904,0%@1906,0%@1906,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.6C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3358mW VDD_CPU_GPU_CV 372mW/422mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:35 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.8C AO@29C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3355mW VDD_CPU_GPU_CV 372mW/418mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:36 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1906,0%@1903,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3352mW VDD_CPU_GPU_CV 372mW/415mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:37 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1903,1%@1907,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.6C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3350mW VDD_CPU_GPU_CV 372mW/413mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:38 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1901,0%@1911,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.45C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3348mW VDD_CPU_GPU_CV 372mW/411mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:39 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1902,0%@1908,0%@1908,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.65C AO@29C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3346mW VDD_CPU_GPU_CV 372mW/409mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:40 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1909,0%@1908,0%@1908,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.6C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3344mW VDD_CPU_GPU_CV 372mW/407mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:41 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.6C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3342mW VDD_CPU_GPU_CV 372mW/405mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:42 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1908,0%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@30.5C thermal@29.65C AO@29.5C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3312mW/3341mW VDD_CPU_GPU_CV 372mW/403mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:43 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [2%@1907,1%@1905,1%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.45C AO@29C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3431mW/3345mW VDD_CPU_GPU_CV 496mW/407mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:44 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1903,0%@1906,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.3C AO@29C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3343mW VDD_CPU_GPU_CV 372mW/406mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:45 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1902,0%@1907,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.3C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3271mW/3341mW VDD_CPU_GPU_CV 372mW/405mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:46 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1904,0%@1906,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.3C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3312mW/3339mW VDD_CPU_GPU_CV 372mW/403mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:47 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1907,1%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.3C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3312mW/3338mW VDD_CPU_GPU_CV 372mW/402mW VDD_SOC 1323mW/1324mW
