12-15-2025 13:03:46 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1900,0%@1905,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31.5C thermal@30.3C AO@30C GPU@29.5C iwlwifi@31C PMIC@50C VDD_IN 3307mW/3366mW VDD_CPU_GPU_CV 372mW/430mW VDD_SOC 1320mW/1332mW
12-15-2025 13:03:47 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1908,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31.5C thermal@30.3C AO@30C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3362mW VDD_CPU_GPU_CV 372mW/426mW VDD_SOC 1320mW/1331mW
12-15-2025 13:03:48 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1905,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31.5C thermal@30.3C AO@30C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3358mW VDD_CPU_GPU_CV 372mW/423mW VDD_SOC 1320mW/1330mW
12-15-2025 13:03:49 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1908,0%@1907,0%@1908,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30.3C AO@30C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3355mW VDD_CPU_GPU_CV 372mW/420mW VDD_SOC 1320mW/1329mW
12-15-2025 13:03:50 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1900,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31.5C thermal@30.15C AO@30C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3352mW VDD_CPU_GPU_CV 372mW/417mW VDD_SOC 1323mW/1329mW
12-15-2025 13:03:51 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1902,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30C AO@29.5C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3350mW VDD_CPU_GPU_CV 372mW/415mW VDD_SOC 1323mW/1329mW
12-15-2025 13:03:52 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1908,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30.15C AO@29.5C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3348mW VDD_CPU_GPU_CV 372mW/413mW VDD_SOC 1323mW/1328mW
12-15-2025 13:03:53 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1898,0%@1905,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31.5C thermal@30.15C AO@30C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3346mW VDD_CPU_GPU_CV 372mW/411mW VDD_SOC 1323mW/1328mW
12-15-2025 13:03:54 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1896,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@30C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3344mW VDD_CPU_GPU_CV 372mW/409mW VDD_SOC 1323mW/1328mW
12-15-2025 13:03:55 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1904,0%@1902,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30.15C AO@30C GPU@29.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3342mW VDD_CPU_GPU_CV 413mW/409mW VDD_SOC 1323mW/1328mW
