SystemTime_ISO,MsgType,FC_Time_us,brkval,freemem,freemem32,mavpackettype
2025-12-15 01:41:02.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.844,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:02.944,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.044,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.144,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.244,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.344,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.444,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.544,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.644,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.744,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.844,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:03.944,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.044,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.144,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.244,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.443,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.543,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.643,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.743,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.843,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:04.943,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.043,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.143,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.243,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.343,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.443,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.543,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.643,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.744,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.843,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:05.943,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.043,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.143,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.243,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.343,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.443,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.543,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.643,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.743,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.843,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:06.943,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:07.043,MEMINFO,0,0,65535,595512,MEMINFO
