SystemTime_ISO,MsgType,FC_Time_us,alt_error,aspd_error,mavpackettype,nav_bearing,nav_pitch,nav_roll,target_bearing,wp_dist,xtrack_error
2025-12-15 01:40:54.555,NAV_CONTROLLER_OUTPUT,0,7.891379356384277,0.0,NAV_CONTROLLER_OUTPUT,96,0.00027222742210142314,-0.00029854904278181493,0,0,0.0
2025-12-15 01:40:54.570,NAV_CONTROLLER_OUTPUT,0,7.885563850402832,0.0,NAV_CONTROLLER_OUTPUT,96,0.0002722273056861013,-0.00029854889726266265,0,0,0.0
2025-12-15 01:40:54.578,NAV_CONTROLLER_OUTPUT,0,8.175179481506348,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722261124290526,-0.0002985458413604647,0,0,0.0
2025-12-15 01:40:54.584,NAV_CONTROLLER_OUTPUT,0,8.172877311706543,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722261124290526,-0.00029854581225663424,0,0,0.0
2025-12-15 01:40:54.618,NAV_CONTROLLER_OUTPUT,0,8.171154975891113,0.0,NAV_CONTROLLER_OUTPUT,97,0.00027222628705203533,-0.0002985458995681256,0,0,0.0
2025-12-15 01:40:54.644,NAV_CONTROLLER_OUTPUT,0,8.170125007629395,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722263161558658,-0.0002985458995681256,0,0,0.0
2025-12-15 01:40:54.744,NAV_CONTROLLER_OUTPUT,0,8.167038917541504,0.0,NAV_CONTROLLER_OUTPUT,98,0.0002722263743635267,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:54.843,NAV_CONTROLLER_OUTPUT,0,8.165863037109375,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722264325711876,-0.00029854592867195606,0,0,0.0
2025-12-15 01:40:54.943,NAV_CONTROLLER_OUTPUT,0,8.16768741607666,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722263743635267,-0.00029854592867195606,0,0,0.0
2025-12-15 01:40:55.043,NAV_CONTROLLER_OUTPUT,0,8.169678688049316,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722263161558658,-0.0002985458995681256,0,0,0.0
2025-12-15 01:40:55.143,NAV_CONTROLLER_OUTPUT,0,8.169641494750977,0.0,NAV_CONTROLLER_OUTPUT,97,0.00027222628705203533,-0.0002985458413604647,0,0,0.0
2025-12-15 01:40:55.243,NAV_CONTROLLER_OUTPUT,0,8.167816162109375,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722261706367135,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:55.343,NAV_CONTROLLER_OUTPUT,0,8.16330337524414,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722261124290526,-0.00029854581225663424,0,0,0.0
2025-12-15 01:40:55.443,NAV_CONTROLLER_OUTPUT,0,8.159661293029785,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722262579482049,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:55.543,NAV_CONTROLLER_OUTPUT,0,8.155852317810059,0.0,NAV_CONTROLLER_OUTPUT,97,0.00027222619974054396,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:55.643,NAV_CONTROLLER_OUTPUT,0,8.15091323852539,0.0,NAV_CONTROLLER_OUTPUT,97,0.00027222628705203533,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:55.743,NAV_CONTROLLER_OUTPUT,0,8.147330284118652,0.0,NAV_CONTROLLER_OUTPUT,97,0.0002722263161558658,-0.0002985459577757865,0,0,0.0
2025-12-15 01:40:55.843,NAV_CONTROLLER_OUTPUT,0,8.143243789672852,0.0,NAV_CONTROLLER_OUTPUT,98,0.0002722261706367135,-0.0002985458995681256,0,0,0.0
2025-12-15 01:40:55.943,NAV_CONTROLLER_OUTPUT,0,8.13924503326416,0.0,NAV_CONTROLLER_OUTPUT,98,0.0002722261124290526,-0.00029854587046429515,0,0,0.0
2025-12-15 01:40:56.044,NAV_CONTROLLER_OUTPUT,0,8.137650489807129,0.0,NAV_CONTROLLER_OUTPUT,97,0.00027222619974054396,-0.00029854592867195606,0,0,0.0
2025-12-15 01:40:56.143,NAV_CONTROLLER_OUTPUT,0,8.134991645812988,0.0,NAV_CONTROLLER_OUTPUT,98,0.0002722262579482049,-0.0002985459577757865,0,0,0.0
2025-12-15 01:40:56.243,NAV_CONTROLLER_OUTPUT,0,8.136052131652832,0.0,NAV_CONTROLLER_OUTPUT,98,0.0002722262288443744,-0.0002985459577757865,0,0,0.0
2025-12-15 01:40:56.344,NAV_CONTROLLER_OUTPUT,0,8.136460304260254,0.0,NAV_CONTROLLER_OUTPUT,98,0.00027222619974054396,-0.00029854587046429515,0,0,0.0
