SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,time_unix_usec
2025-12-15 01:41:01.450,SYSTEM_TIME,4027440,SYSTEM_TIME,0
2025-12-15 01:41:01.550,SYSTEM_TIME,4027539,SYSTEM_TIME,0
2025-12-15 01:41:01.650,SYSTEM_TIME,4027639,SYSTEM_TIME,0
2025-12-15 01:41:01.750,SYSTEM_TIME,4027739,SYSTEM_TIME,0
2025-12-15 01:41:01.850,SYSTEM_TIME,4027839,SYSTEM_TIME,0
2025-12-15 01:41:01.950,SYSTEM_TIME,4027939,SYSTEM_TIME,0
2025-12-15 01:41:02.050,SYSTEM_TIME,4028039,SYSTEM_TIME,0
2025-12-15 01:41:02.150,SYSTEM_TIME,4028139,SYSTEM_TIME,0
2025-12-15 01:41:02.250,SYSTEM_TIME,4028239,SYSTEM_TIME,0
2025-12-15 01:41:02.350,SYSTEM_TIME,4028339,SYSTEM_TIME,0
2025-12-15 01:41:02.450,SYSTEM_TIME,4028439,SYSTEM_TIME,0
2025-12-15 01:41:02.550,SYSTEM_TIME,4028539,SYSTEM_TIME,0
2025-12-15 01:41:02.649,SYSTEM_TIME,4028639,SYSTEM_TIME,0
2025-12-15 01:41:02.747,SYSTEM_TIME,4028739,SYSTEM_TIME,0
2025-12-15 01:41:02.846,SYSTEM_TIME,4028839,SYSTEM_TIME,0
2025-12-15 01:41:02.946,SYSTEM_TIME,4028939,SYSTEM_TIME,0
2025-12-15 01:41:03.046,SYSTEM_TIME,4029039,SYSTEM_TIME,0
2025-12-15 01:41:03.146,SYSTEM_TIME,4029139,SYSTEM_TIME,0
2025-12-15 01:41:03.246,SYSTEM_TIME,4029239,SYSTEM_TIME,0
2025-12-15 01:41:03.348,SYSTEM_TIME,4029339,SYSTEM_TIME,0
2025-12-15 01:41:03.446,SYSTEM_TIME,4029439,SYSTEM_TIME,0
2025-12-15 01:41:03.546,SYSTEM_TIME,4029539,SYSTEM_TIME,0
2025-12-15 01:41:03.646,SYSTEM_TIME,4029639,SYSTEM_TIME,0
2025-12-15 01:41:03.746,SYSTEM_TIME,4029739,SYSTEM_TIME,0
2025-12-15 01:41:03.846,SYSTEM_TIME,4029839,SYSTEM_TIME,0
2025-12-15 01:41:03.946,SYSTEM_TIME,4029939,SYSTEM_TIME,0
2025-12-15 01:41:04.046,SYSTEM_TIME,4030039,SYSTEM_TIME,0
2025-12-15 01:41:04.147,SYSTEM_TIME,4030140,SYSTEM_TIME,0
2025-12-15 01:41:04.246,SYSTEM_TIME,4030239,SYSTEM_TIME,0
2025-12-15 01:41:04.348,SYSTEM_TIME,4030339,SYSTEM_TIME,0
2025-12-15 01:41:04.446,SYSTEM_TIME,4030439,SYSTEM_TIME,0
2025-12-15 01:41:04.547,SYSTEM_TIME,4030539,SYSTEM_TIME,0
2025-12-15 01:41:04.647,SYSTEM_TIME,4030639,SYSTEM_TIME,0
2025-12-15 01:41:04.747,SYSTEM_TIME,4030739,SYSTEM_TIME,0
2025-12-15 01:41:04.846,SYSTEM_TIME,4030839,SYSTEM_TIME,0
2025-12-15 01:41:04.946,SYSTEM_TIME,4030939,SYSTEM_TIME,0
2025-12-15 01:41:05.046,SYSTEM_TIME,4031039,SYSTEM_TIME,0
2025-12-15 01:41:05.146,SYSTEM_TIME,4031139,SYSTEM_TIME,0
2025-12-15 01:41:05.246,SYSTEM_TIME,4031239,SYSTEM_TIME,0
2025-12-15 01:41:05.346,SYSTEM_TIME,4031339,SYSTEM_TIME,0
