SystemTime_ISO,MsgType,FC_Time_us,id,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2025-12-15 01:40:54.558,RAW_IMU,3498037111,0,RAW_IMU,4528,1,0,-39,10,-2,-247,-993,0,131
2025-12-15 01:40:54.572,RAW_IMU,3498134924,0,RAW_IMU,4480,1,0,-28,10,-1,-252,-992,0,134
2025-12-15 01:40:54.579,RAW_IMU,4020334595,0,RAW_IMU,4528,1,0,-39,10,-1,-239,-994,0,142
2025-12-15 01:40:54.585,RAW_IMU,4020437432,0,RAW_IMU,4480,1,0,-50,10,-1,-258,-993,0,145
2025-12-15 01:40:54.622,RAW_IMU,4020597095,0,RAW_IMU,4528,2,0,-43,10,-1,-261,-992,0,121
2025-12-15 01:40:54.645,RAW_IMU,4020637361,0,RAW_IMU,4480,1,0,-43,10,-1,-261,-992,0,121
2025-12-15 01:40:54.745,RAW_IMU,4020737368,0,RAW_IMU,4528,1,0,-29,10,-1,-241,-993,0,130
2025-12-15 01:40:54.844,RAW_IMU,4020837334,0,RAW_IMU,4528,2,0,-24,10,-2,-272,-992,0,143
2025-12-15 01:40:54.944,RAW_IMU,4020937355,0,RAW_IMU,4480,1,0,-24,10,-1,-264,-992,0,142
2025-12-15 01:40:55.044,RAW_IMU,4021037334,0,RAW_IMU,4480,1,0,-54,10,-1,-255,-992,0,145
2025-12-15 01:40:55.145,RAW_IMU,4021139831,0,RAW_IMU,4528,0,0,-30,9,-1,-253,-993,0,134
2025-12-15 01:40:55.245,RAW_IMU,4021239801,0,RAW_IMU,4528,1,0,-41,10,-2,-262,-993,0,143
2025-12-15 01:40:55.345,RAW_IMU,4021339812,0,RAW_IMU,4528,2,0,-42,10,-2,-253,-992,0,118
2025-12-15 01:40:55.445,RAW_IMU,4021439779,0,RAW_IMU,4480,1,0,-28,10,-1,-254,-993,0,119
2025-12-15 01:40:55.545,RAW_IMU,4021539807,0,RAW_IMU,4480,1,0,-30,10,-2,-268,-993,0,132
2025-12-15 01:40:55.644,RAW_IMU,4021637365,0,RAW_IMU,4528,2,0,-56,10,-1,-265,-992,0,137
2025-12-15 01:40:55.744,RAW_IMU,4021737386,0,RAW_IMU,4480,1,0,-40,10,-1,-253,-993,-1,129
