SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2025-12-14 21:36:48.034,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:48.055,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:48.075,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:48.095,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:48.115,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.134,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.154,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:48.174,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.194,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.214,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:48.234,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.255,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.274,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.295,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.314,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:48.334,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.353,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:48.374,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.395,HWSTATUS,0,0,5265,HWSTATUS
2025-12-14 21:36:48.415,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:48.434,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.454,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:48.475,HWSTATUS,0,0,5250,HWSTATUS
2025-12-14 21:36:48.495,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.515,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:48.534,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:48.554,HWSTATUS,0,0,5251,HWSTATUS
2025-12-14 21:36:48.575,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.594,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:48.615,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:48.634,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:48.654,HWSTATUS,0,0,5256,HWSTATUS
