SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,mission_mode,mission_state,seq,total
2025-12-14 21:36:47.710,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.729,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.748,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.768,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.790,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.809,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.830,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.848,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.869,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.890,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.909,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.928,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.949,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.968,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:47.989,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.010,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.028,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.049,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.069,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.090,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.109,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.129,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.149,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.168,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.190,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.208,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.229,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.248,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.268,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.289,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.309,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.328,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.348,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.369,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.389,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.410,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.428,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.449,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.469,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.489,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.510,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.529,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.549,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.569,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.590,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.609,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.629,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.649,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.669,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.690,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.708,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.728,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.749,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.769,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
2025-12-14 21:36:48.790,MISSION_CURRENT,0,MISSION_CURRENT,0,0,0,0
