SystemTime_ISO,MsgType,FC_Time_us,Vcc,Vservo,flags,mavpackettype
2025-12-14 21:36:47.867,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:47.889,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-14 21:36:47.908,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-14 21:36:47.927,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-14 21:36:47.947,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-14 21:36:47.967,POWER_STATUS,0,5258,7,1,POWER_STATUS
2025-12-14 21:36:47.987,POWER_STATUS,0,5257,7,1,POWER_STATUS
2025-12-14 21:36:48.008,POWER_STATUS,0,5256,7,1,POWER_STATUS
2025-12-14 21:36:48.027,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-14 21:36:48.047,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-14 21:36:48.067,POWER_STATUS,0,5253,0,1,POWER_STATUS
2025-12-14 21:36:48.088,POWER_STATUS,0,5263,0,1,POWER_STATUS
2025-12-14 21:36:48.108,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-14 21:36:48.127,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.147,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-14 21:36:48.167,POWER_STATUS,0,5256,14,1,POWER_STATUS
2025-12-14 21:36:48.188,POWER_STATUS,0,5259,14,1,POWER_STATUS
2025-12-14 21:36:48.207,POWER_STATUS,0,5257,14,1,POWER_STATUS
2025-12-14 21:36:48.227,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.247,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-14 21:36:48.267,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-14 21:36:48.288,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.308,POWER_STATUS,0,5253,0,1,POWER_STATUS
