SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2025-12-14 21:37:53.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:54.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:55.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:56.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:57.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:58.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:59.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:00.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:01.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:02.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:03.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:04.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:05.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:06.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:07.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:08.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:09.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:10.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:11.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:12.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:13.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:14.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:15.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:16.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:17.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:18.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:19.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:20.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:21.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:22.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
