SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,time_unix_usec
2025-12-14 21:36:47.834,SYSTEM_TIME,14210320,SYSTEM_TIME,0
2025-12-14 21:36:47.853,SYSTEM_TIME,14210340,SYSTEM_TIME,0
2025-12-14 21:36:47.873,SYSTEM_TIME,14210360,SYSTEM_TIME,0
2025-12-14 21:36:47.894,SYSTEM_TIME,14210380,SYSTEM_TIME,0
2025-12-14 21:36:47.913,SYSTEM_TIME,14210400,SYSTEM_TIME,0
2025-12-14 21:36:47.933,SYSTEM_TIME,14210420,SYSTEM_TIME,0
2025-12-14 21:36:47.953,SYSTEM_TIME,14210440,SYSTEM_TIME,0
2025-12-14 21:36:47.973,SYSTEM_TIME,14210460,SYSTEM_TIME,0
2025-12-14 21:36:47.994,SYSTEM_TIME,14210480,SYSTEM_TIME,0
2025-12-14 21:36:48.014,SYSTEM_TIME,14210499,SYSTEM_TIME,0
2025-12-14 21:36:48.033,SYSTEM_TIME,14210520,SYSTEM_TIME,0
2025-12-14 21:36:48.054,SYSTEM_TIME,14210540,SYSTEM_TIME,0
2025-12-14 21:36:48.073,SYSTEM_TIME,14210560,SYSTEM_TIME,0
2025-12-14 21:36:48.093,SYSTEM_TIME,14210580,SYSTEM_TIME,0
2025-12-14 21:36:48.114,SYSTEM_TIME,14210600,SYSTEM_TIME,0
2025-12-14 21:36:48.133,SYSTEM_TIME,14210620,SYSTEM_TIME,0
2025-12-14 21:36:48.153,SYSTEM_TIME,14210640,SYSTEM_TIME,0
2025-12-14 21:36:48.173,SYSTEM_TIME,14210660,SYSTEM_TIME,0
2025-12-14 21:36:48.193,SYSTEM_TIME,14210680,SYSTEM_TIME,0
2025-12-14 21:36:48.213,SYSTEM_TIME,14210700,SYSTEM_TIME,0
2025-12-14 21:36:48.233,SYSTEM_TIME,14210720,SYSTEM_TIME,0
2025-12-14 21:36:48.253,SYSTEM_TIME,14210740,SYSTEM_TIME,0
2025-12-14 21:36:48.273,SYSTEM_TIME,14210760,SYSTEM_TIME,0
2025-12-14 21:36:48.294,SYSTEM_TIME,14210780,SYSTEM_TIME,0
2025-12-14 21:36:48.313,SYSTEM_TIME,14210800,SYSTEM_TIME,0
2025-12-14 21:36:48.333,SYSTEM_TIME,14210820,SYSTEM_TIME,0
2025-12-14 21:36:48.352,SYSTEM_TIME,14210840,SYSTEM_TIME,0
2025-12-14 21:36:48.373,SYSTEM_TIME,14210860,SYSTEM_TIME,0
2025-12-14 21:36:48.394,SYSTEM_TIME,14210880,SYSTEM_TIME,0
2025-12-14 21:36:48.414,SYSTEM_TIME,14210900,SYSTEM_TIME,0
2025-12-14 21:36:48.433,SYSTEM_TIME,14210920,SYSTEM_TIME,0
2025-12-14 21:36:48.453,SYSTEM_TIME,14210940,SYSTEM_TIME,0
2025-12-14 21:36:48.474,SYSTEM_TIME,14210960,SYSTEM_TIME,0
2025-12-14 21:36:48.494,SYSTEM_TIME,14210980,SYSTEM_TIME,0
2025-12-14 21:36:48.514,SYSTEM_TIME,14211000,SYSTEM_TIME,0
2025-12-14 21:36:48.533,SYSTEM_TIME,14211020,SYSTEM_TIME,0
2025-12-14 21:36:48.554,SYSTEM_TIME,14211040,SYSTEM_TIME,0
2025-12-14 21:36:48.574,SYSTEM_TIME,14211060,SYSTEM_TIME,0
2025-12-14 21:36:48.593,SYSTEM_TIME,14211080,SYSTEM_TIME,0
2025-12-14 21:36:48.613,SYSTEM_TIME,14211100,SYSTEM_TIME,0
2025-12-14 21:36:48.633,SYSTEM_TIME,14211120,SYSTEM_TIME,0
2025-12-14 21:36:48.653,SYSTEM_TIME,14211140,SYSTEM_TIME,0
2025-12-14 21:36:48.674,SYSTEM_TIME,14211160,SYSTEM_TIME,0
2025-12-14 21:36:48.693,SYSTEM_TIME,14211180,SYSTEM_TIME,0
2025-12-14 21:36:48.713,SYSTEM_TIME,14211200,SYSTEM_TIME,0
2025-12-14 21:36:48.733,SYSTEM_TIME,14211220,SYSTEM_TIME,0
2025-12-14 21:36:48.753,SYSTEM_TIME,14211240,SYSTEM_TIME,0
2025-12-14 21:36:48.774,SYSTEM_TIME,14211260,SYSTEM_TIME,0
2025-12-14 21:36:48.795,SYSTEM_TIME,14211280,SYSTEM_TIME,0
2025-12-14 21:36:48.813,SYSTEM_TIME,14211300,SYSTEM_TIME,0
2025-12-14 21:36:48.834,SYSTEM_TIME,14211320,SYSTEM_TIME,0
2025-12-14 21:36:48.853,SYSTEM_TIME,14211340,SYSTEM_TIME,0
2025-12-14 21:36:48.874,SYSTEM_TIME,14211360,SYSTEM_TIME,0
2025-12-14 21:36:48.894,SYSTEM_TIME,14211380,SYSTEM_TIME,0
2025-12-14 21:36:48.913,SYSTEM_TIME,14211400,SYSTEM_TIME,0
2025-12-14 21:36:48.933,SYSTEM_TIME,14211420,SYSTEM_TIME,0
2025-12-14 21:36:48.953,SYSTEM_TIME,14211440,SYSTEM_TIME,0
2025-12-14 21:36:48.973,SYSTEM_TIME,14211460,SYSTEM_TIME,0
2025-12-14 21:36:48.994,SYSTEM_TIME,14211480,SYSTEM_TIME,0
2025-12-14 21:36:49.014,SYSTEM_TIME,14211500,SYSTEM_TIME,0
2025-12-14 21:36:49.034,SYSTEM_TIME,14211520,SYSTEM_TIME,0
2025-12-14 21:36:49.053,SYSTEM_TIME,14211540,SYSTEM_TIME,0
2025-12-14 21:36:49.074,SYSTEM_TIME,14211560,SYSTEM_TIME,0
2025-12-14 21:36:49.093,SYSTEM_TIME,14211580,SYSTEM_TIME,0
2025-12-14 21:36:49.114,SYSTEM_TIME,14211600,SYSTEM_TIME,0
2025-12-14 21:36:49.134,SYSTEM_TIME,14211620,SYSTEM_TIME,0
2025-12-14 21:36:49.154,SYSTEM_TIME,14211640,SYSTEM_TIME,0
2025-12-14 21:36:49.173,SYSTEM_TIME,14211660,SYSTEM_TIME,0
2025-12-14 21:36:49.193,SYSTEM_TIME,14211680,SYSTEM_TIME,0
2025-12-14 21:36:49.212,SYSTEM_TIME,14211700,SYSTEM_TIME,0
2025-12-14 21:36:49.234,SYSTEM_TIME,14211720,SYSTEM_TIME,0
2025-12-14 21:36:49.253,SYSTEM_TIME,14211740,SYSTEM_TIME,0
2025-12-14 21:36:49.273,SYSTEM_TIME,14211760,SYSTEM_TIME,0
2025-12-14 21:36:49.293,SYSTEM_TIME,14211780,SYSTEM_TIME,0
2025-12-14 21:36:49.313,SYSTEM_TIME,14211800,SYSTEM_TIME,0
2025-12-14 21:36:49.333,SYSTEM_TIME,14211819,SYSTEM_TIME,0
2025-12-14 21:36:49.353,SYSTEM_TIME,14211840,SYSTEM_TIME,0
2025-12-14 21:36:49.374,SYSTEM_TIME,14211860,SYSTEM_TIME,0
2025-12-14 21:36:49.394,SYSTEM_TIME,14211880,SYSTEM_TIME,0
2025-12-14 21:36:49.413,SYSTEM_TIME,14211900,SYSTEM_TIME,0
2025-12-14 21:36:49.433,SYSTEM_TIME,14211920,SYSTEM_TIME,0
2025-12-14 21:36:49.454,SYSTEM_TIME,14211940,SYSTEM_TIME,0
2025-12-14 21:36:49.474,SYSTEM_TIME,14211960,SYSTEM_TIME,0
2025-12-14 21:36:49.494,SYSTEM_TIME,14211980,SYSTEM_TIME,0
2025-12-14 21:36:49.513,SYSTEM_TIME,14211999,SYSTEM_TIME,0
2025-12-14 21:36:49.534,SYSTEM_TIME,14212020,SYSTEM_TIME,0
2025-12-14 21:36:49.554,SYSTEM_TIME,14212040,SYSTEM_TIME,0
2025-12-14 21:36:49.574,SYSTEM_TIME,14212060,SYSTEM_TIME,0
2025-12-14 21:36:49.595,SYSTEM_TIME,14212080,SYSTEM_TIME,0
2025-12-14 21:36:49.613,SYSTEM_TIME,14212100,SYSTEM_TIME,0
2025-12-14 21:36:49.633,SYSTEM_TIME,14212120,SYSTEM_TIME,0
2025-12-14 21:36:49.653,SYSTEM_TIME,14212140,SYSTEM_TIME,0
2025-12-14 21:36:49.673,SYSTEM_TIME,14212160,SYSTEM_TIME,0
2025-12-14 21:36:49.694,SYSTEM_TIME,14212180,SYSTEM_TIME,0
2025-12-14 21:36:49.713,SYSTEM_TIME,14212200,SYSTEM_TIME,0
2025-12-14 21:36:49.736,SYSTEM_TIME,14212220,SYSTEM_TIME,0
2025-12-14 21:36:49.753,SYSTEM_TIME,14212240,SYSTEM_TIME,0
2025-12-14 21:36:49.773,SYSTEM_TIME,14212260,SYSTEM_TIME,0
2025-12-14 21:36:49.794,SYSTEM_TIME,14212280,SYSTEM_TIME,0
2025-12-14 21:36:49.813,SYSTEM_TIME,14212300,SYSTEM_TIME,0
2025-12-14 21:36:49.833,SYSTEM_TIME,14212320,SYSTEM_TIME,0
2025-12-14 21:36:49.853,SYSTEM_TIME,14212340,SYSTEM_TIME,0
2025-12-14 21:36:49.873,SYSTEM_TIME,14212360,SYSTEM_TIME,0
2025-12-14 21:36:49.895,SYSTEM_TIME,14212380,SYSTEM_TIME,0
2025-12-14 21:36:49.913,SYSTEM_TIME,14212400,SYSTEM_TIME,0
2025-12-14 21:36:49.933,SYSTEM_TIME,14212420,SYSTEM_TIME,0
2025-12-14 21:36:49.953,SYSTEM_TIME,14212440,SYSTEM_TIME,0
2025-12-14 21:36:49.974,SYSTEM_TIME,14212460,SYSTEM_TIME,0
2025-12-14 21:36:49.994,SYSTEM_TIME,14212480,SYSTEM_TIME,0
2025-12-14 21:36:50.013,SYSTEM_TIME,14212500,SYSTEM_TIME,0
2025-12-14 21:36:50.033,SYSTEM_TIME,14212520,SYSTEM_TIME,0
2025-12-14 21:36:50.054,SYSTEM_TIME,14212540,SYSTEM_TIME,0
2025-12-14 21:36:50.074,SYSTEM_TIME,14212560,SYSTEM_TIME,0
2025-12-14 21:36:50.094,SYSTEM_TIME,14212580,SYSTEM_TIME,0
2025-12-14 21:36:50.114,SYSTEM_TIME,14212600,SYSTEM_TIME,0
2025-12-14 21:36:50.133,SYSTEM_TIME,14212620,SYSTEM_TIME,0
2025-12-14 21:36:50.154,SYSTEM_TIME,14212640,SYSTEM_TIME,0
