SystemTime_ISO,MsgType,FC_Time_us,brkval,freemem,freemem32,mavpackettype
2025-12-14 21:36:47.968,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:47.988,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.009,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.027,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.048,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.068,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.089,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.108,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.128,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.148,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.168,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.189,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.207,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.228,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.247,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.267,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.288,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.309,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.327,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.347,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.367,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.388,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.409,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.427,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.448,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.468,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.489,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.509,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.528,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.548,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.568,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.589,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.608,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.627,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.648,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.668,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.689,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.707,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.727,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.748,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.768,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.789,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.808,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.828,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.848,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.868,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.889,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.908,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.928,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.948,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.968,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:48.989,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:49.008,MEMINFO,0,0,65535,582872,MEMINFO
2025-12-14 21:36:49.028,MEMINFO,0,0,65535,582872,MEMINFO
