SystemTime_ISO,MsgType,FC_Time_us,accel_weight,error_rp,error_yaw,mavpackettype,omegaIx,omegaIy,omegaIz,renorm_val
2026-01-12 14:55:36.532,AHRS,0,0.0,0.00046776424278505147,0.040468521416187286,AHRS,-0.0006677661440335214,0.0038412169087678194,-0.00021432960056699812,0.0
2026-01-12 14:55:36.547,AHRS,0,0.0,0.00045830316958017647,0.040468521416187286,AHRS,-0.0006681445520371199,0.003843356156721711,-0.0002088831242872402,0.0
2026-01-12 14:55:36.561,AHRS,0,0.0,0.00045830316958017647,0.040468521416187286,AHRS,-0.000668599852360785,0.0038459752686321735,-0.0002090254711220041,0.0
2026-01-12 14:55:36.582,AHRS,0,0.0,0.00045830316958017647,0.03305574879050255,AHRS,-0.0006678905338048935,0.003841895144432783,-0.00020880372903775424,0.0
2026-01-12 14:55:36.602,AHRS,0,0.0,0.00045830316958017647,0.03305574879050255,AHRS,-0.0006683506071567535,0.003844541497528553,-0.0002089475456159562,0.0
2026-01-12 14:55:36.622,AHRS,0,0.0,0.00045830316958017647,0.03305574879050255,AHRS,-0.0006682233070023358,0.003843622747808695,-0.00020889370352961123,0.0
2026-01-12 14:55:36.641,AHRS,0,0.0,0.00045830316958017647,0.03305574879050255,AHRS,-0.0006680579390376806,0.0038426723331212997,-0.00020893853798042983,0.0
2026-01-12 14:55:36.662,AHRS,0,0.0,0.00045830316958017647,0.03305574879050255,AHRS,-0.000668515742290765,0.003845305647701025,-0.00020908171427436173,0.0
2026-01-12 14:55:36.682,AHRS,0,0.0,0.00045830316958017647,0.04493917524814606,AHRS,-0.0006683386745862663,0.003844287246465683,-0.0002090263442369178,0.0
2026-01-12 14:55:36.702,AHRS,0,0.0,0.00045830316958017647,0.04493917524814606,AHRS,-0.0006682528764940798,0.003843793412670493,-0.00020899949595332146,0.0
2026-01-12 14:55:36.721,AHRS,0,0.0,0.00045830316958017647,0.04493917524814606,AHRS,-0.0006686586420983076,0.0038459382485598326,-0.00020911236060783267,0.0
2026-01-12 14:55:36.742,AHRS,0,0.0,0.00047866470413282514,0.04493917524814606,AHRS,-0.0006684877444058657,0.0038449985440820456,-0.00021550380915869027,0.0
2026-01-12 14:55:36.762,AHRS,0,0.0,0.00047866470413282514,0.04493917524814606,AHRS,-0.0006683997926302254,0.003844492370262742,-0.00021547546202782542,0.0
2026-01-12 14:55:36.782,AHRS,0,0.0,0.00047866470413282514,0.036177150905132294,AHRS,-0.0006682183593511581,0.003843449056148529,-0.0002154169778805226,0.0
2026-01-12 14:55:36.802,AHRS,0,0.0,0.00047866470413282514,0.036177150905132294,AHRS,-0.0006681358790956438,0.0038429745472967625,-0.00021539037697948515,0.0
2026-01-12 14:55:36.821,AHRS,0,0.0,0.00047866470413282514,0.036177150905132294,AHRS,-0.000668547407258302,0.003845153609290719,-0.00021550871315412223,0.0
2026-01-12 14:55:36.842,AHRS,0,0.0,0.00047866470413282514,0.036177150905132294,AHRS,-0.0006683833780698478,0.00384420994669199,-0.00021539520821534097,0.0
2026-01-12 14:55:36.862,AHRS,0,0.0,0.00047866470413282514,0.036177150905132294,AHRS,-0.0006682983948849142,0.0038437212351709604,-0.00021536782151088119,0.0
2026-01-12 14:55:36.882,AHRS,0,0.0,0.00047866470413282514,0.030406078323721886,AHRS,-0.0006681228405795991,0.0038427114486694336,-0.0002153112436644733,0.0
2026-01-12 14:55:36.902,AHRS,0,0.0,0.00047866470413282514,0.030406078323721886,AHRS,-0.0006680431542918086,0.0038422532379627228,-0.00021528557408601046,0.0
2026-01-12 14:55:36.921,AHRS,0,0.0,0.00047866470413282514,0.030406078323721886,AHRS,-0.0006684657419100404,0.003844462102279067,-0.0002154055837308988,0.0
2026-01-12 14:55:36.942,AHRS,0,0.0,0.0005190869560465217,0.030406078323721886,AHRS,-0.0006682962994091213,0.0038434844464063644,-0.00021489178470801562,0.0
2026-01-12 14:55:36.962,AHRS,0,0.0,0.0005190869560465217,0.030406078323721886,AHRS,-0.0006682141101919115,0.003843011800199747,-0.0002148653584299609,0.0
2026-01-12 14:55:36.982,AHRS,0,0.0,0.0005190869560465217,0.03065165877342224,AHRS,-0.0006680439109914005,0.0038420329801738262,-0.00021481062867678702,0.0
2026-01-12 14:55:37.002,AHRS,0,0.0,0.0005190869560465217,0.03065165877342224,AHRS,-0.0006685046246275306,0.003844682825729251,-0.00021495878172572702,0.0
2026-01-12 14:55:37.022,AHRS,0,0.0,0.0005190869560465217,0.03065165877342224,AHRS,-0.0006689273286610842,0.003846860257908702,-0.0002150769141735509,0.0
2026-01-12 14:55:37.042,AHRS,0,0.0,0.0005190869560465217,0.03065165877342224,AHRS,-0.0006682035746052861,0.003842684207484126,-0.0002127924672095105,0.0
2026-01-12 14:55:37.062,AHRS,0,0.0,0.0005190869560465217,0.03065165877342224,AHRS,-0.0006686623673886061,0.0038453226443380117,-0.00021293858299031854,0.0
2026-01-12 14:55:37.082,AHRS,0,0.0,0.0005190869560465217,0.027076097205281258,AHRS,-0.0006690258160233498,0.003847412532195449,-0.00021305431437212974,0.0
2026-01-12 14:55:37.102,AHRS,0,0.0,0.0005190869560465217,0.027076097205281258,AHRS,-0.0006683914689347148,0.00384376454167068,-0.00021285230468492955,0.0
2026-01-12 14:55:37.122,AHRS,0,0.0,0.0005190869560465217,0.027076097205281258,AHRS,-0.0006688273278996348,0.003845976199954748,-0.00021297136845532805,0.0
