SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,tc1,ts1
2026-01-14 13:08:02.736,TIMESYNC,0,TIMESYNC,0,880214408001
2026-01-14 13:08:12.737,TIMESYNC,0,TIMESYNC,0,890217028001
2026-01-14 13:08:22.740,TIMESYNC,0,TIMESYNC,0,900219502001
2026-01-14 13:08:32.743,TIMESYNC,0,TIMESYNC,0,910221860001
2026-01-14 13:08:42.746,TIMESYNC,0,TIMESYNC,0,920224538001
2026-01-14 13:08:52.754,TIMESYNC,0,TIMESYNC,0,930226849001
2026-01-14 13:09:02.758,TIMESYNC,0,TIMESYNC,0,940229782001
2026-01-14 13:09:12.759,TIMESYNC,0,TIMESYNC,0,950232263001
2026-01-14 13:09:22.758,TIMESYNC,0,TIMESYNC,0,960234394001
2026-01-14 13:09:32.761,TIMESYNC,0,TIMESYNC,0,970237425001
2026-01-14 13:09:42.763,TIMESYNC,0,TIMESYNC,0,980239343001
2026-01-14 13:09:52.766,TIMESYNC,0,TIMESYNC,0,990242175001
2026-01-14 13:10:02.769,TIMESYNC,0,TIMESYNC,0,1000244711001
2026-01-14 13:10:12.775,TIMESYNC,0,TIMESYNC,0,1010246830001
2026-01-14 13:10:22.781,TIMESYNC,0,TIMESYNC,0,1020249578001
2026-01-14 13:10:32.781,TIMESYNC,0,TIMESYNC,0,1030251814001
2026-01-14 13:10:42.783,TIMESYNC,0,TIMESYNC,0,1040254556001
2026-01-14 13:10:52.783,TIMESYNC,0,TIMESYNC,0,1050257006001
2026-01-14 13:11:02.784,TIMESYNC,0,TIMESYNC,0,1060257016001
2026-01-14 13:11:12.786,TIMESYNC,0,TIMESYNC,0,1070259387001
2026-01-14 13:11:22.788,TIMESYNC,0,TIMESYNC,0,1080262064001
2026-01-14 13:11:32.791,TIMESYNC,0,TIMESYNC,0,1090264330001
2026-01-14 13:11:42.796,TIMESYNC,0,TIMESYNC,0,1100267021001
2026-01-14 13:11:52.797,TIMESYNC,0,TIMESYNC,0,1110269523001
2026-01-14 13:12:02.799,TIMESYNC,0,TIMESYNC,0,1120271841001
2026-01-14 13:12:12.803,TIMESYNC,0,TIMESYNC,0,1130274584001
2026-01-14 13:12:22.805,TIMESYNC,0,TIMESYNC,0,1140276818001
2026-01-14 13:12:32.808,TIMESYNC,0,TIMESYNC,0,1150279525001
2026-01-14 13:12:42.813,TIMESYNC,0,TIMESYNC,0,1160282019001
2026-01-14 13:12:52.819,TIMESYNC,0,TIMESYNC,0,1170284273001
2026-01-14 13:13:02.819,TIMESYNC,0,TIMESYNC,0,1180287020001
2026-01-14 13:13:12.820,TIMESYNC,0,TIMESYNC,0,1190289306001
2026-01-14 13:13:22.822,TIMESYNC,0,TIMESYNC,0,1200292011001
2026-01-14 13:13:32.824,TIMESYNC,0,TIMESYNC,0,1210294570001
2026-01-14 13:13:42.827,TIMESYNC,0,TIMESYNC,0,1220296782001
2026-01-14 13:13:52.830,TIMESYNC,0,TIMESYNC,0,1230299601001
2026-01-14 13:14:02.838,TIMESYNC,0,TIMESYNC,0,1240301840001
2026-01-14 13:14:12.840,TIMESYNC,0,TIMESYNC,0,1250304552001
2026-01-14 13:14:22.841,TIMESYNC,0,TIMESYNC,0,1260307021001
2026-01-14 13:14:32.841,TIMESYNC,0,TIMESYNC,0,1270309387001
2026-01-14 13:14:42.844,TIMESYNC,0,TIMESYNC,0,1280312032001
2026-01-14 13:14:52.846,TIMESYNC,0,TIMESYNC,0,1290314425001
2026-01-14 13:15:02.850,TIMESYNC,0,TIMESYNC,0,1300317079001
2026-01-14 13:15:12.854,TIMESYNC,0,TIMESYNC,0,1310319499001
2026-01-14 13:15:22.860,TIMESYNC,0,TIMESYNC,0,1320321834001
2026-01-14 13:15:32.861,TIMESYNC,0,TIMESYNC,0,1330324545001
2026-01-14 13:15:42.861,TIMESYNC,0,TIMESYNC,0,1340326828001
2026-01-14 13:15:52.863,TIMESYNC,0,TIMESYNC,0,1350329778001
2026-01-14 13:16:02.866,TIMESYNC,0,TIMESYNC,0,1360332240001
2026-01-14 13:16:12.868,TIMESYNC,0,TIMESYNC,0,1370334317001
2026-01-14 13:16:22.872,TIMESYNC,0,TIMESYNC,0,1380337382001
2026-01-14 13:16:32.880,TIMESYNC,0,TIMESYNC,0,1390339271001
2026-01-14 13:16:42.883,TIMESYNC,0,TIMESYNC,0,1400342142001
2026-01-14 13:16:52.884,TIMESYNC,0,TIMESYNC,0,1410344649001
2026-01-14 13:17:02.884,TIMESYNC,0,TIMESYNC,0,1420346811001
2026-01-14 13:17:12.886,TIMESYNC,0,TIMESYNC,0,1430349548001
2026-01-14 13:17:22.891,TIMESYNC,0,TIMESYNC,0,1440351832001
2026-01-14 13:17:32.900,TIMESYNC,0,TIMESYNC,0,1450354539001
2026-01-14 13:17:42.894,TIMESYNC,0,TIMESYNC,0,1460356999001
2026-01-14 13:17:52.900,TIMESYNC,0,TIMESYNC,0,1470359370001
2026-01-14 13:18:02.904,TIMESYNC,0,TIMESYNC,0,1480362032001
2026-01-14 13:18:12.906,TIMESYNC,0,TIMESYNC,0,1490364339001
2026-01-14 13:18:22.906,TIMESYNC,0,TIMESYNC,0,1500367027001
2026-01-14 13:18:32.908,TIMESYNC,0,TIMESYNC,0,1510369493001
2026-01-14 13:18:42.910,TIMESYNC,0,TIMESYNC,0,1520371884001
2026-01-14 13:18:52.914,TIMESYNC,0,TIMESYNC,0,1530374610001
2026-01-14 13:19:02.916,TIMESYNC,0,TIMESYNC,0,1540376920001
2026-01-14 13:19:12.920,TIMESYNC,0,TIMESYNC,0,1550379552001
2026-01-14 13:19:22.927,TIMESYNC,0,TIMESYNC,0,1560382013001
2026-01-14 13:19:32.928,TIMESYNC,0,TIMESYNC,0,1570384353001
2026-01-14 13:19:42.929,TIMESYNC,0,TIMESYNC,0,1580387018001
2026-01-14 13:19:52.930,TIMESYNC,0,TIMESYNC,0,1590389604001
2026-01-14 13:20:02.933,TIMESYNC,0,TIMESYNC,0,1600391828001
2026-01-14 13:20:12.936,TIMESYNC,0,TIMESYNC,0,1610394580001
