12-15-2025 15:02:49 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3385mW VDD_CPU_GPU_CV 372mW/451mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:50 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,1%@1907,0%@1898,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@29.8C AO@29.5C GPU@29.5C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3380mW VDD_CPU_GPU_CV 372mW/446mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:51 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1897,0%@1907,0%@1908,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3373mW VDD_CPU_GPU_CV 372mW/441mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:52 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1915,0%@1909,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3370mW VDD_CPU_GPU_CV 372mW/437mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:53 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,1%@1907,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3364mW VDD_CPU_GPU_CV 372mW/433mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:54 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1908,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3359mW VDD_CPU_GPU_CV 372mW/430mW VDD_SOC 1323mW/1325mW
12-15-2025 15:02:55 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,1%@1907,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3357mW VDD_CPU_GPU_CV 372mW/427mW VDD_SOC 1323mW/1324mW
12-15-2025 15:02:56 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3355mW VDD_CPU_GPU_CV 372mW/425mW VDD_SOC 1323mW/1324mW
12-15-2025 15:02:57 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3351mW VDD_CPU_GPU_CV 372mW/422mW VDD_SOC 1323mW/1324mW
12-15-2025 15:02:58 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,1%@1907,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3349mW VDD_CPU_GPU_CV 372mW/420mW VDD_SOC 1323mW/1324mW
